review,rating,date,bank,source,contains_emoji,emojis
"In the previous, I gave 4 🌟 for this app based on my evaluation. This app was without biometric security and may be exposed to cheaters unexpectedly. It is solved now. You can add verification security on the setting app. But there is something problem still with verification. It must prevent logging in without correct input fingerprint.",5,2024-12-20,CBE Mobile Banking,Google Play,True,['🌟']
Two step verification update is fake (meaningless). Why because the app gives you an option of to use pin while requesting two step verification step. 🔐 This updated app is not differ than the previous one in case of security & safegaurding users.👹👹💀💀 The other features of the app are best and easy to use it.⭐️⭐️⭐️⭐️⭐️,1,2025-03-06,CBE Mobile Banking,Google Play,True,"['🔐', '👹', '👹', '💀', '💀', '⭐', '⭐', '⭐', '⭐', '⭐']"
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE Mobile Banking,Google Play,True,['👌']
"Before the new version, the app was fast and merits 4 ⭐. However, following the upgrade, the app is slow and takes time to reload. Apps are useless without speed, so make them work.",1,2024-12-19,CBE Mobile Banking,Google Play,True,['⭐']
I don't understand the reason why this app asks me to turn off my developer options whenever I try to log into the app 🙄 This issue immediately needs to be fixed. Why would I sacrifice my phone's performance to use only this app? It's ridiculous 😒,2,2025-01-06,CBE Mobile Banking,Google Play,True,"['🙄', '😒']"
"The app is unresponsive the time when the fragments are attached. It is just like shivering. Still, I can't download the transaction history instead it just toasted me can't save. Please consider all this things. But I would recommed you to use a tab layout. This is because, consider I am using latest Samsung 🤔 device, how do you think that your app is running on other damn devices like techno and itel ? It is horrible.",3,2022-08-26,CBE Mobile Banking,Google Play,True,['🤔']
Weak update ! . b/c it stops when I want to set two step verification on. And it is only applicable if developer options are on. Why ??? Please tell me the reason 🙏,1,2024-12-31,CBE Mobile Banking,Google Play,True,['🙏']
"It only works at the first glance(only after installation and configuration). After that all the transfer options, utilities, top up doesn't work. It just say doesn't sync. Even the balance bord keeps loading and doesn't show the current balance.... Very poor experience ☹️😥.",1,2020-09-05,CBE Mobile Banking,Google Play,True,"['☹', '😥']"
When I started using the app for the first time I like it. But through time it started annoying me😠 Because it doesn't update the transaction history immediately. I remember one day I transferred 17000 to another account but I can't took screenshots of transportation history. It says repository........! It needs urgent system maintenance ‼️,4,2022-09-28,CBE Mobile Banking,Google Play,True,"['😠', '‼']"
fast and simple easy to use 👌,5,2025-05-12,CBE Mobile Banking,Google Play,True,['👌']
"the App is one of the BEST things to have in Ethiopia but one of major problems is shows incorrect statements and incorrect available balance, merchants and supermarkets doesn't deduct right away 😑 deductible may come after weeks or month, once u already forgot about it and so many things to work on. please take it seriously Thanks 😊",3,2022-11-16,CBE Mobile Banking,Google Play,True,"['😑', '😊']"
"Before years later i used this app and is used to work in mobile data eventhough it doesn't have different features like this version but now it doesn't even sync my balance and even can't use any of the services it says "" can't sync "" and "" none available "" 😡🤬😡",1,2020-12-16,CBE Mobile Banking,Google Play,True,"['😡', '🤬', '😡']"
"""get your verification code from your nearest branch"" ia the first amazing dialogue your face, when you try to setup your CBE App. It is a way back system that requires you to go physically. You should have sent a verification codes either via phone number or email address. You better change this analogue system to the digital one! 😀",2,2024-07-13,CBE Mobile Banking,Google Play,True,['😀']
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE Mobile Banking,Google Play,True,"['🙏', '🙏', '🙏']"
"it,s good app and time manager 👍",5,2025-05-30,CBE Mobile Banking,Google Play,True,['👍']
"Great Experience 👍 but there is o e thing that highly bother me *the password to login every time you open the app 😒 it ask you a pin instead what I say you can make it to be a fingerprint, because putting password continously so frustrating and also not secure as somebody can see our pin Thank you 😊",4,2022-08-29,CBE Mobile Banking,Google Play,True,"['👍', '😒', '😊']"
Convenient and safe to use! Better to show more transaction history 👍,5,2024-12-14,CBE Mobile Banking,Google Play,True,['👍']
"It's a shame,it can't performe well,you guys can't even fix a bug, It's getting unusable, shame shame shame 😡",1,2025-02-28,CBE Mobile Banking,Google Play,True,['😡']
"While Travelling, I couldn't transfer money from my account to another. I had to delete❌ the app and re install and then wait until they give me authorization code.... too complicated.",1,2022-11-13,CBE Mobile Banking,Google Play,True,['❌']
the app has a bug and it keeps crashing 😑 please provide an update and fix the issue thank you....,3,2025-03-17,CBE Mobile Banking,Google Play,True,['😑']
"We need more update soon! once I updated it, it authomatically stop working😭",1,2025-01-05,CBE Mobile Banking,Google Play,True,['😭']
My experience with this app is very bad. I just downloaded and installed this app and I stuck with the verification code. The app requested me to input the code without sending it. 😢,1,2020-10-19,CBE Mobile Banking,Google Play,True,['😢']
"How can I trust a bank that doesn't have a cyber crime reporting mechanism. I recently traveled out of the country. After a week I got a text message stating that more than 1000bir withdrawn from my account without my knowledge. When I tried to download the receipt, it doesn't even work. I only know it was transfered to a Wegagen bank account via a POS machine. Please be carefull and take a lesson from me. 😡😡😡",1,2024-09-16,CBE Mobile Banking,Google Play,True,"['😡', '😡', '😡']"
"Can got 0 ⭐ Please ! this App is completely Scam Becouse I made payment in other bank option in the App but the APP (-) mY BALANCE BUT NO successful notification to get screen shoot, no SMS and no Transaction history and I alerdy lost my mony becous my clint also does not get the mony i sent! I pay but I didn't got mony! stey away frim CBE",1,2024-05-19,CBE Mobile Banking,Google Play,True,['⭐']
I excuted an order just once but this app has doubled it on it's own on my last order.With that I had to pay extra 100OETB unnecessarily. A bit of annoying 🙄,1,2023-08-14,CBE Mobile Banking,Google Play,True,['🙄']
It is very funny and useless app. They developed the app either with lack of necessary technological knowledge or purposely to manipulate their customers. A huge shame for such kinda influential company.👎👎,1,2023-12-05,CBE Mobile Banking,Google Play,True,"['👎', '👎']"
The New realese is just WOW every feature is very importat and mostly the verification was an important feature. Thank you CBE APP Developer team👍,4,2024-02-14,CBE Mobile Banking,Google Play,True,['👍']
It makes life easy!👌,5,2025-05-24,CBE Mobile Banking,Google Play,True,['👌']
You should be boa b/c the app active by self so please 🙏 arrange now and for activation service l was pay 20 birr this is unfair,1,2024-12-27,CBE Mobile Banking,Google Play,True,['🙏']
it is Very Useful app 👍,5,2025-04-07,CBE Mobile Banking,Google Play,True,['👍']
I'm lucky to have this🙏 thank you CBE.,5,2025-04-01,CBE Mobile Banking,Google Play,True,['🙏']
i can't access this app without turning off the developer option mode 🤬👎,1,2025-01-02,CBE Mobile Banking,Google Play,True,"['🤬', '👎']"
Reliable & Simplified Service🎉💜🙏🙏,5,2025-01-18,CBE Mobile Banking,Google Play,True,"['🎉', '💜', '🙏', '🙏']"
I gave it 5🌟 BC this app deserves. Thank you for your services. Appreciated.,5,2025-02-19,CBE Mobile Banking,Google Play,True,['🌟']
The great app and banking system 🤩,5,2025-01-16,CBE Mobile Banking,Google Play,True,['🤩']
"I love it.it makes payment easier for me.as i don't like going to banks and wait and waste my time,i found this app very helpful and important . 5⭐",5,2021-11-05,CBE Mobile Banking,Google Play,True,['⭐']
I realy hate this app it simply keep on saying that your device is rooted you can't use this ap when my device is not rooted so you better consult an android developer✌️ so one star is too much....,1,2021-06-19,CBE Mobile Banking,Google Play,True,['✌']
