review,rating,date,bank,source,lang_pretrained_initial,language_detected,final_language
Best app Galaatooma appiin kun bareedadha,5,2024-02-14,CBE Mobile Banking,Google Play,non-en,om,Afan Oromo
Baayyee gaariidha Garuu App keessan altokko tokko isa ati tokko ergitu irra deebi'ee ergaa isa nu sirreessaa,4,2025-01-12,CBE Mobile Banking,Google Play,non-en,om,Afan Oromo
Tajaajilaa gaarii 🤩,5,2024-12-26,CBE Mobile Banking,Google Play,non-en,om,Afan Oromo
Applicationiin kun akka ati barbaaddetti hin hoojjatu maali rakkoon isaa,5,2024-03-09,CBE Mobile Banking,Google Play,non-en,om,Afan Oromo
Baankii daashin baankii hudna galeessa galatoomaa isinii woliin jirra Godina jimmaa magaalaa Aggaaroo irraa Muaz Abamecha Abamilki,5,2025-02-07,Dashen Bank,Google Play,non-en,om,Afan Oromo
