bank,1,2,3,4,5
Bank of Abyssinia,108.9891008174387,96.3170731707317,95.0,54.25,44.018348623853214
CBE Mobile Banking,101.40749414519907,109.38695652173914,103.48307692307692,88.62025316455696,45.03204830469113
Dashen Bank,88.4,123.26666666666667,90.63636363636364,120.6923076923077,95.52434456928839
