date,bank,rating
2020-11-11,CBE Mobile Banking,3.0
2020-11-12,CBE Mobile Banking,5.0
2020-11-14,CBE Mobile Banking,3.0
2020-11-15,CBE Mobile Banking,1.0
2020-11-16,CBE Mobile Banking,2.0
2020-11-19,CBE Mobile Banking,2.0
2020-11-20,CBE Mobile Banking,3.5
2020-11-21,CBE Mobile Banking,1.0
2020-11-25,CBE Mobile Banking,5.0
2020-11-28,CBE Mobile Banking,2.0
2020-11-29,CBE Mobile Banking,3.0
2020-11-30,CBE Mobile Banking,2.0
2020-12-01,CBE Mobile Banking,2.5
2020-12-02,CBE Mobile Banking,3.6666666666666665
2020-12-03,CBE Mobile Banking,5.0
2020-12-04,CBE Mobile Banking,3.0
2020-12-05,CBE Mobile Banking,5.0
2020-12-06,CBE Mobile Banking,5.0
2020-12-07,CBE Mobile Banking,1.0
2020-12-08,CBE Mobile Banking,5.0
2020-12-11,CBE Mobile Banking,2.5
2020-12-12,CBE Mobile Banking,5.0
2020-12-13,CBE Mobile Banking,2.5
2020-12-14,CBE Mobile Banking,1.0
2020-12-15,CBE Mobile Banking,5.0
2020-12-16,CBE Mobile Banking,3.0
2020-12-17,CBE Mobile Banking,5.0
2020-12-19,CBE Mobile Banking,4.0
2020-12-20,CBE Mobile Banking,1.0
2020-12-21,CBE Mobile Banking,4.333333333333333
2020-12-22,CBE Mobile Banking,3.6666666666666665
2020-12-23,CBE Mobile Banking,4.0
2020-12-26,CBE Mobile Banking,5.0
2020-12-28,CBE Mobile Banking,1.0
2020-12-30,CBE Mobile Banking,5.0
2020-12-31,CBE Mobile Banking,1.0
2021-01-01,CBE Mobile Banking,3.3333333333333335
2021-01-02,CBE Mobile Banking,2.25
2021-01-03,CBE Mobile Banking,1.0
2021-01-04,CBE Mobile Banking,3.0
2021-01-05,CBE Mobile Banking,5.0
2021-01-06,CBE Mobile Banking,3.0
2021-01-08,CBE Mobile Banking,5.0
2021-01-09,CBE Mobile Banking,5.0
2021-01-12,CBE Mobile Banking,1.0
2021-01-13,CBE Mobile Banking,2.0
2021-01-16,CBE Mobile Banking,3.0
2021-01-20,CBE Mobile Banking,4.5
2021-01-21,CBE Mobile Banking,2.5
2021-01-22,CBE Mobile Banking,1.0
2021-01-23,CBE Mobile Banking,5.0
2021-01-24,CBE Mobile Banking,1.0
2021-01-25,CBE Mobile Banking,5.0
2021-01-28,CBE Mobile Banking,5.0
2021-01-29,CBE Mobile Banking,3.0
2021-01-31,CBE Mobile Banking,3.0
2021-02-01,CBE Mobile Banking,4.0
2021-02-02,CBE Mobile Banking,5.0
2021-02-03,CBE Mobile Banking,2.0
2021-02-04,CBE Mobile Banking,4.0
2021-02-05,CBE Mobile Banking,5.0
2021-02-06,CBE Mobile Banking,1.5
2021-02-08,CBE Mobile Banking,5.0
2021-02-09,CBE Mobile Banking,1.0
2021-02-11,CBE Mobile Banking,3.5
2021-02-12,CBE Mobile Banking,5.0
2021-02-13,CBE Mobile Banking,3.0
2021-02-14,CBE Mobile Banking,3.0
2021-02-17,CBE Mobile Banking,5.0
2021-02-23,CBE Mobile Banking,5.0
2021-02-26,CBE Mobile Banking,3.0
2021-02-28,CBE Mobile Banking,2.25
2021-03-01,CBE Mobile Banking,5.0
2021-03-02,CBE Mobile Banking,4.0
2021-03-04,CBE Mobile Banking,4.5
2021-03-06,CBE Mobile Banking,1.0
2021-03-07,CBE Mobile Banking,5.0
2021-03-08,CBE Mobile Banking,4.0
2021-03-12,CBE Mobile Banking,4.5
2021-03-13,CBE Mobile Banking,5.0
2021-03-14,CBE Mobile Banking,2.0
2021-03-15,CBE Mobile Banking,1.0
2021-03-16,CBE Mobile Banking,5.0
2021-03-18,CBE Mobile Banking,5.0
2021-03-19,CBE Mobile Banking,5.0
2021-03-20,CBE Mobile Banking,5.0
2021-03-21,CBE Mobile Banking,5.0
2021-03-25,CBE Mobile Banking,3.75
